,Category,Rating,Reviews,Size,Installs,Price,Content Rating,Android Ver
74,2,4.6,197,3.4,"50,000+",0,0,4.0
75,2,4.5,737,8.9,"100,000+",0,0,4.1
76,2,4.3,3574,3.9,"1,000,000+",0,10,4.0
77,2,4.5,994,2.9,"100,000+",0,0,4.1
78,2,4.9,197136,38,"1,000,000+",0,0,4.1
79,2,3.9,142,32,"50,000+",0,0,6.0
80,2,4.4,15168,37,"1,000,000+",0,0,4.2
81,2,4.0,2155,15,"500,000+",0,0,5.0
82,2,4.3,138,5.4,"100,000+",0,0,4.0
83,2,3.7,5414,18,"1,000,000+",0,0,4.4
84,2,4.4,21777,0,"1,000,000+",0,0,0.0
85,2,4.3,348,38,"100,000+",0,0,2.3
86,2,3.2,250,1.1,"100,000+",0,0,4.0
87,2,4.6,13372,0,"1,000,000+",0,0,0.0
88,2,4.6,7880,0,"100,000+",0,0,0.0
89,2,4.5,3617,7.9,"100,000+",0,0,4.1
90,2,3.7,4806,35,"1,000,000+",0,0,4.0
91,2,4.6,65786,0,"1,000,000+",0,0,4.0
92,2,4.6,31433,17,"1,000,000+",0,0,4.0
93,2,4.6,5097,19,"1,000,000+",0,0,4.0
94,2,4.0,1754,14,"500,000+",0,0,4.0
95,2,4.4,2680,2.2,"500,000+",0,0,4.0
96,2,4.0,1288,4.5,"100,000+",0,0,4.0
97,3,4.7,18900,17,"500,000+",0,0,5.0
98,3,4.9,49790,14,"1,000,000+",0,0,4.1
99,3,4.7,1150,9.8,"100,000+",0,0,4.1
100,3,3.9,1739,21,"500,000+",0,0,4.0
101,3,3.9,32090,0,"1,000,000+",0,0,0.0
102,3,4.2,2225,52,"500,000+",0,0,4.1
103,3,4.6,4369,14,"100,000+",0,0,4.0
104,3,4.3,8572,25,"1,000,000+",0,0,4.0
105,3,4.7,964,9.0,"50,000+",0,0,4.2
106,3,4.7,42050,0,"1,000,000+",0,0,5.0
107,3,4.8,104,12,"10,000+",0,0,4.0
108,3,4.2,17934,0,"1,000,000+",0,0,0.0
109,3,4.3,601,35,"100,000+",0,0,4.0
110,3,4.5,36,6.7,"10,000+",0,0,4.0
111,3,4.1,187,30,"50,000+",0,13,4.0
112,3,4.2,30,2.9,"10,000+",0,0,4.0
113,3,4.5,134,17,"10,000+",0,0,4.0
114,3,4.4,74,2.9,"10,000+",0,0,4.0
115,3,4.0,113715,0,"10,000,000+",0,0,0.0
116,3,4.1,3595,0,"500,000+",0,0,4.0
117,3,4.1,9315,2.6,"1,000,000+",0,0,4.0
118,3,4.4,75,4.2,"50,000+",0,0,4.0
119,3,4.6,38,7.1,"10,000+",0,0,4.0
120,3,4.5,26834,57,"1,000,000+",0,0,5.0
121,3,3.9,2277,22,"500,000+",0,0,4.0
122,3,4.4,2280,24,"500,000+",0,0,4.0
123,3,4.6,184,21,"10,000+",0,0,4.1
124,3,3.8,9,3.4,"5,000+",0,0,4.0
125,3,4.0,364,6.4,"100,000+",0,0,4.0
126,3,4.3,18,3.2,"5,000+",0,0,4.0
127,3,4.5,473,8.2,"100,000+",0,17,1.6
128,3,4.1,66,2.9,"10,000+",0,0,4.0
129,3,3.7,3871,23,"1,000,000+",0,0,4.0
130,3,4.7,257,4.6,"50,000+",0,0,4.0
131,3,4.2,62,3.1,"10,000+",0,0,4.0
132,4,4.6,2914724,0,"100,000,000+",0,13,0.0
133,4,4.5,1857,4.9,"50,000+",0,0,4.4
134,4,4.6,4478,9.5,"100,000+",0,10,4.0
135,4,4.4,577550,0,"10,000,000+",0,0,0.0
136,4,4.2,814080,0,"100,000,000+",0,13,0.0
137,4,4.5,246315,0,"10,000,000+",0,0,1.5
138,4,4.5,454060,0,"10,000,000+",0,0,0.0
139,4,4.5,155446,0,"10,000,000+",0,13,0.0
140,4,4.5,418,4.2,"100,000+",0,0,4.1
141,4,4.4,22486,5.4,"1,000,000+",0,13,4.0
142,4,4.5,203130,0,"10,000,000+",0,0,0.0
143,4,4.6,1435,2.8,"500,000+",0,0,4.0
144,4,4.8,116507,5.0,"1,000,000+",0,13,4.0
145,4,3.9,1433233,0,"1,000,000,000+",0,13,0.0
146,4,4.6,90468,5.9,"5,000,000+",0,0,2.3
147,4,4.2,860,13,"100,000+",0,0,4.0
148,4,4.1,363934,7.1,"10,000,000+",0,0,4.1
149,4,4.7,967,6.7,"500,000+",0,0,4.0
150,4,4.2,87873,0,"10,000,000+",0,13,0.0
151,4,4.3,17506,17,"1,000,000+",0,0,4.1
152,4,3.3,1862,19,"1,000,000+",0,0,4.1
153,4,4.6,2084,6.7,"500,000+",0,0,2.3
154,4,4.8,47303,21,"1,000,000+",0,0,4.1
155,4,4.7,19080,0,"500,000+",0,0,0.0
156,4,4.1,85842,37,"5,000,000+",0,0,4.0
157,4,4.6,7831,15,"100,000+",0,13,4.0
158,4,4.1,91615,23,"5,000,000+",0,17,4.1
159,4,4.6,4620,19,"500,000+",0,0,4.0
160,4,4.7,21336,23,"1,000,000+",0,0,3.0
161,4,4.5,26875,73,"500,000+",0,0,4.0
162,4,3.9,1778,4.9,"500,000+",0,17,2.1
163,4,4.4,2709,6.8,"1,000,000+",0,0,4.4
164,4,4.3,64513,0,"5,000,000+",0,0,0.0
165,4,4.2,8342,0,"10,000,000+",0,0,7.0
166,4,4.5,527,2.9,"100,000+",0,0,4.0
167,4,4.4,1322,3.5,"100,000+",0,0,4.0
168,4,3.4,1680,4.0,"100,000+",0,0,4.0
169,4,4.9,2739,21,"50,000+",0,0,3.0
170,4,4.6,1065,2.3,"500,000+",0,0,3.0
171,4,4.4,233757,0,"10,000,000+",0,0,0.0
172,4,4.4,8788,10,"1,000,000+",0,0,4.0
173,4,4.4,51269,6.1,"1,000,000+",0,0,4.2
174,4,4.4,30105,2.1,"1,000,000+",0,0,4.0
175,4,3.5,156,42,"500,000+",0,0,2.2
176,4,4.4,341157,30,"10,000,000+",0,10,4.2
177,5,4.1,16129,0,"10,000,000+",0,0,0.0
178,5,4.3,674730,0,"50,000,000+",0,0,0.0
179,5,4.4,1254730,0,"10,000,000+",0,0,0.0
180,5,4.3,85185,29,"5,000,000+",0,0,5.0
181,5,4.3,32584,0,"1,000,000+",0,0,0.0
182,5,4.1,217730,0,"50,000,000+",0,0,0.0
183,5,4.4,70991,0,"5,000,000+",0,0,4.4
184,5,4.3,1002861,35,"100,000,000+",0,0,4.1
185,5,3.9,16589,9.1,"1,000,000+",0,0,4.0
186,5,4.8,148945,25,"1,000,000+",0,0,5.0
187,5,4.5,4458,3.9,"500,000+",0,0,4.1
188,5,4.4,62272,18,"10,000,000+",0,0,4.1
189,5,4.0,8941,12,"5,000,000+",0,0,4.0
190,5,4.3,46353,21,"1,000,000+",0,0,1.5
191,5,4.0,1279184,0,"50,000,000+",0,0,0.0
192,5,4.2,88073,0,"10,000,000+",0,0,0.0
193,5,4.5,67000,0,"1,000,000+",0,0,4.3
194,5,4.2,159872,0,"10,000,000+",0,0,0.0
195,5,4.2,30847,55,"5,000,000+",0,0,4.1
196,5,4.6,188841,3.2,"5,000,000+",0,0,4.0
197,5,4.1,11622,0,"5,000,000+",0,0,0.0
198,5,4.6,95912,0,"5,000,000+",0,0,0.0
199,5,3.1,4034,1,"100,000+",0,0,2.2
200,5,3.9,45964,16,"1,000,000+",0,0,4.1
201,5,4.3,14955,0,"1,000,000+",0,0,0.0
202,5,4.1,6903,14,"1,000,000+",0,0,4.1
203,5,4.4,31614,37,"10,000,000+",0,0,4.0
204,5,4.1,23055,0,"5,000,000+",0,0,0.0
205,5,4.1,19023,0,"1,000,000+",0,0,4.1
206,5,4.5,207372,11,"5,000,000+",0,0,4.0
207,5,4.4,1225,25,"100,000+",0,0,4.1
208,5,4.4,380837,7.3,"10,000,000+",0,0,4.2
209,5,4.3,10600,6.5,"1,000,000+",0,0,4.0
210,5,4.4,74359,25,"1,000,000+",0,0,4.0
211,5,4.6,822,3.1,"100,000+",0,0,4.0
212,5,4.2,80805,0,"5,000,000+",0,0,4.0
213,5,4.4,2287,1.5,"1,000,000+",0,0,2.2
214,5,4.7,4162,7.5,"100,000+",0,0,4.0
215,5,3.8,14760,8.6,"50,000,000+",0,0,7.0
216,5,3.9,23243,0,"5,000,000+",0,0,0.0
217,5,4.3,8978,0,"1,000,000+",0,0,0.0
218,5,4.2,80805,0,"5,000,000+",0,0,4.0
219,5,4.4,42492,0,"1,000,000+",0,0,0.0
220,5,4.7,286897,39,"10,000,000+",0,0,3.0
221,5,4.5,103755,14,"10,000,000+",0,0,4.1
222,5,4.2,46505,19,"1,000,000+",0,0,4.1
223,5,4.7,11442,6.8,"100,000+",4.99,0,4.0
224,5,4.8,10295,39,"100,000+",4.99,0,3.0
225,5,4.2,159872,0,"10,000,000+",0,0,0.0
226,5,4.2,296,14,"50,000+",0,0,4.1
227,5,4.3,29313,20,"5,000,000+",0,0,4.0
228,5,4.4,70991,0,"5,000,000+",0,0,4.4
229,5,4.4,51507,0,"5,000,000+",0,0,0.0
230,5,4.1,1802,26,"100,000+",0,0,4.2
231,5,3.8,1383,51,"100,000+",0,0,5.0
232,5,4.3,23175,41,"1,000,000+",0,0,4.1
233,5,3.8,5868,20,"500,000+",0,0,4.1
234,5,3.5,2111,0,"100,000+",0,0,0.0
235,5,4.1,5448,12,"500,000+",0,0,5.0
236,5,4.6,4159,48,"500,000+",0,0,4.0
237,5,4.3,20815,10,"1,000,000+",0,0,5.0
238,5,4.5,78662,22,"1,000,000+",0,0,4.4
239,5,4.1,7149,11,"1,000,000+",0,0,4.0
240,5,4.5,3079,8.5,"100,000+",0,0,4.1
241,5,4.6,5800,8.6,"100,000+",0,0,4.1
242,5,4.0,6989,0,"1,000,000+",0,0,4.4
243,5,4.2,16422,28,"1,000,000+",0,0,4.1
244,5,4.4,108741,28,"10,000,000+",0,0,4.3
245,5,4.4,31614,37,"10,000,000+",0,0,4.0
246,5,4.0,624,9.0,"100,000+",0,0,5.0
247,5,4.2,1661,46,"100,000+",0,0,4.4
248,5,4.2,97702,0,"5,000,000+",0,0,0.0
249,5,4.1,308,14,"50,000+",0,0,4.0
250,5,4.0,6989,0,"1,000,000+",0,0,4.4
251,5,3.8,5211,26,"1,000,000+",0,0,4.0
252,5,3.9,1058,23,"500,000+",0,0,5.0
253,5,3.9,78172,0,"10,000,000+",0,0,0.0
254,5,4.2,159872,0,"10,000,000+",0,0,0.0
255,5,4.2,296,14,"50,000+",0,0,4.1
256,5,4.3,29313,20,"5,000,000+",0,0,4.0
257,5,4.4,70991,0,"5,000,000+",0,0,4.4
258,5,4.4,51507,0,"5,000,000+",0,0,0.0
259,5,4.1,1802,26,"100,000+",0,0,4.2
260,5,3.8,1383,51,"100,000+",0,0,5.0
261,5,4.3,23175,41,"1,000,000+",0,0,4.1
262,5,3.8,5868,20,"500,000+",0,0,4.1
263,5,3.5,2111,0,"100,000+",0,0,0.0
264,5,4.1,5448,12,"500,000+",0,0,5.0
265,5,4.6,4159,48,"500,000+",0,0,4.0
266,5,4.3,20815,10,"1,000,000+",0,0,5.0
267,5,4.5,78662,22,"1,000,000+",0,0,4.4
268,5,4.1,7149,11,"1,000,000+",0,0,4.0
269,5,4.5,3079,8.5,"100,000+",0,0,4.1
270,5,4.6,5800,8.6,"100,000+",0,0,4.1
271,5,4.0,6989,0,"1,000,000+",0,0,4.4
272,5,4.2,16422,28,"1,000,000+",0,0,4.1
273,5,4.3,8978,0,"1,000,000+",0,0,0.0
274,5,4.2,80804,0,"5,000,000+",0,0,4.0
275,5,4.4,42492,0,"1,000,000+",0,0,0.0
276,5,4.7,286897,39,"10,000,000+",0,0,3.0
277,5,4.5,103755,14,"10,000,000+",0,0,4.1
278,5,4.2,46505,19,"1,000,000+",0,0,4.1
279,5,4.7,11442,6.8,"100,000+",4.99,0,4.0
280,5,4.8,10295,39,"100,000+",4.99,0,3.0
281,5,4.1,217730,0,"50,000,000+",0,0,0.0
282,5,4.3,1002859,35,"100,000,000+",0,0,4.1
283,5,4.4,51510,0,"5,000,000+",0,0,0.0
284,5,4.5,413,29,"10,000+",0,0,5.0
285,5,4.3,23175,41,"1,000,000+",0,0,4.1
286,6,4.5,1013635,0,"10,000,000+",0,13,0.0
287,6,4.6,24005,4.9,"500,000+",0,18,4.1
288,6,4.7,57106,27,"1,000,000+",0,13,4.1
289,6,4.7,2249,32,"500,000+",0,0,4.0
290,6,4.8,516,12,"50,000+",0,0,4.4
291,6,3.9,834,15,"50,000+",0,17,4.1
292,6,4.1,1010,11,"50,000+",0,17,4.1
293,6,4.4,238970,28,"1,000,000+",0,13,5.0
294,6,4.6,302,2.2,"10,000+",0,13,4.0
295,6,4.5,438,3.4,"10,000+",0,0,2.3
296,6,4.7,73,8.3,"10,000+",0,0,4.0
297,6,4.4,39,4.3,"10,000+",0,10,4.2
298,6,4.5,144,4.7,"10,000+",0,0,4.0
299,6,3.9,2181,10,"100,000+",0,13,4.0
300,6,3.2,93965,15,"5,000,000+",0,13,4.0
301,6,3.2,1446,7.1,"100,000+",0,17,4.0
302,6,4.1,12088,21,"1,000,000+",0,17,4.0
303,6,4.5,314,6.1,"100,000+",0,0,4.1
304,6,4.2,25671,0,"1,000,000+",0,13,0.0
305,6,4.2,15194,15,"1,000,000+",0,13,4.2
306,6,3.7,22551,11,"1,000,000+",0,13,4.4
307,6,4.5,29839,29,"1,000,000+",0,13,4.4
308,6,4.6,279,3.3,"100,000+",0,0,4.0
309,6,4.5,564387,0,"5,000,000+",0,0,0.0
310,6,4.7,1677,40,"100,000+",0,0,4.1
311,6,4.4,757,10,"10,000+",0,13,4.1
312,6,3.5,115,9.1,"10,000+",0,17,5.0
313,6,3.3,125,4.7,"5,000+",0,13,4.0
314,6,4.5,9952,38,"500,000+",0,10,4.1
315,6,4.4,18814,0,"1,000,000+",0,17,0.0
316,6,4.2,21,6.7,"5,000+",0,0,4.0
317,6,5.0,15,37,"1,000+",0,0,4.0
318,6,4.4,51981,0,"5,000,000+",0,0,2.3
319,6,4.7,3596,7.8,"10,000+",0,13,4.0
320,6,4.4,1006,19,"50,000+",0,0,4.0
321,6,4.4,5968,5.7,"1,000,000+",0,0,4.0
322,6,4.6,4895,35,"100,000+",0,0,4.4
323,7,4.0,56642847,0,"1,000,000,000+",0,0,0.0
324,7,4.4,69119316,0,"1,000,000,000+",0,0,0.0
325,7,4.3,125257,17,"10,000,000+",0,13,4.1
326,7,4.3,9642995,0,"1,000,000,000+",0,0,0.0
327,7,4.4,1429035,0,"100,000,000+",0,0,2.3
328,7,4.3,4604324,0,"1,000,000,000+",0,0,0.0
329,7,4.0,3419249,0,"1,000,000,000+",0,0,0.0
330,7,4.3,11334799,0,"500,000,000+",0,0,0.0
331,7,4.3,158679,8.8,"5,000,000+",0,0,4.4
332,7,4.4,3075028,0,"100,000,000+",0,0,0.0
333,7,4.3,4187998,16,"100,000,000+",0,0,4.4
334,7,4.3,659395,11,"100,000,000+",0,0,4.0
335,7,4.3,4785892,11,"500,000,000+",0,0,4.0
336,7,4.3,66602,0,"50,000,000+",0,0,5.0
337,7,4.3,30209,15,"5,000,000+",0,0,4.1
338,7,4.0,36901,6.6,"5,000,000+",0,0,4.0
339,7,4.5,5149854,0,"100,000,000+",0,0,0.0
340,7,4.3,192948,6.6,"10,000,000+",0,0,4.0
341,7,3.7,99559,0,"10,000,000+",0,0,0.0
342,7,4.5,437674,0,"10,000,000+",0,0,0.0
343,7,3.9,13698,5.1,"10,000,000+",0,0,4.1
344,7,4.4,2473509,0,"100,000,000+",0,0,0.0
345,7,3.6,20769,18,"1,000,000+",0,0,4.1
346,7,4.4,36880,4.0,"1,000,000+",0,0,5.0
347,7,4.2,171031,0,"10,000,000+",0,0,0.0
348,7,4.4,63543,0,"5,000,000+",0,0,0.0
349,7,4.1,45487,0,"10,000,000+",0,0,0.0
350,7,4.4,615381,37,"10,000,000+",0,17,4.0
351,7,4.3,2451083,0,"100,000,000+",0,13,0.0
352,7,4.2,33053,22,"5,000,000+",0,0,4.0
353,7,4.2,5387333,0,"100,000,000+",0,0,0.0
354,7,4.4,3648120,3.3,"100,000,000+",0,13,4.0
355,7,4.4,136662,32,"10,000,000+",0,0,4.0
356,7,3.9,42370,37,"1,000,000+",0,0,5.0
357,7,4.2,781810,0,"100,000,000+",0,0,0.0
358,7,4.4,3128250,0,"100,000,000+",0,17,0.0
359,7,4.6,2083237,0,"500,000,000+",0,0,4.4
360,7,4.3,541389,0,"10,000,000+",0,0,4.1
361,7,4.3,46702,0,"1,000,000+",0,0,0.0
362,7,4.4,2939,17,"100,000+",0,0,4.1
363,7,3.7,13761,0,"10,000,000+",0,0,0.0
364,7,4.3,258556,0,"10,000,000+",0,0,0.0
365,7,3.9,40751,35,"10,000,000+",0,13,4.0
366,7,4.5,17712922,40,"500,000,000+",0,13,4.0
367,7,3.7,25021,61,"5,000,000+",0,0,4.3
368,7,4.3,27187,66,"5,000,000+",0,0,4.4
369,7,4.4,69119316,0,"1,000,000,000+",0,0,0.0
370,7,4.0,56646578,0,"1,000,000,000+",0,0,0.0
371,7,4.3,4785988,11,"500,000,000+",0,0,4.0
372,7,4.0,122498,1,"10,000,000+",0,0,4.0
373,7,4.3,11334973,0,"500,000,000+",0,0,0.0
374,7,4.0,3419433,0,"1,000,000,000+",0,0,0.0
375,7,4.1,132014,25,"10,000,000+",0,0,4.2
376,7,4.2,83239,14,"5,000,000+",0,0,4.0
377,7,4.2,594728,0,"50,000,000+",0,0,4.4
378,7,4.2,5387446,0,"100,000,000+",0,0,0.0
379,7,4.1,10484169,0,"1,000,000,000+",0,0,0.0
380,7,4.4,3128509,0,"100,000,000+",0,17,0.0
381,7,4.3,2451093,0,"100,000,000+",0,13,0.0
382,7,4.2,171031,0,"10,000,000+",0,0,0.0
383,7,4.4,2876500,24,"100,000,000+",0,0,4.0
384,7,4.2,781810,0,"100,000,000+",0,0,0.0
385,7,4.1,28238,17,"1,000,000+",0,0,2.3
386,7,4.3,335646,8.3,"10,000,000+",0,0,2.3
387,7,4.3,350154,0,"10,000,000+",0,0,0.0
388,7,4.5,349384,8.2,"10,000,000+",0,0,4.0
389,7,4.3,346982,0,"10,000,000+",0,0,4.1
390,7,4.2,244863,0,"10,000,000+",0,0,0.0
391,7,4.2,10790289,0,"500,000,000+",0,0,0.0
392,7,4.5,330761,0,"10,000,000+",0,0,0.0
393,7,4.3,37320,8.4,"1,000,000+",0,0,4.0
394,7,4.3,12842860,0,"100,000,000+",0,0,4.0
395,7,4.3,2546527,0,"100,000,000+",0,0,0.0
396,7,4.4,36893,4.0,"1,000,000+",0,0,5.0
397,7,4.2,15880,32,"1,000,000+",0,0,4.0
398,7,4.3,346980,0,"10,000,000+",0,0,4.1
399,7,4.3,9643041,0,"1,000,000,000+",0,0,0.0
400,7,4.4,3075118,0,"100,000,000+",0,0,0.0
401,7,4.6,2264916,6.1,"50,000,000+",0,0,4.0
402,7,4.3,541389,0,"10,000,000+",0,0,4.1
403,7,4.4,2473693,0,"100,000,000+",0,0,0.0
404,7,4.2,42925,2.8,"1,000,000+",0,0,2.3
405,7,4.5,5150471,0,"100,000,000+",0,0,0.0
406,7,4.5,2511130,0,"50,000,000+",0,0,0.0
407,7,4.4,3648480,3.3,"100,000,000+",0,13,4.0
408,7,4.5,17714850,40,"500,000,000+",0,13,4.0
409,7,4.1,13100,2.2,"1,000,000+",0,0,4.0
410,7,4.2,27156,0,"1,000,000+",0,0,0.0
411,7,4.1,55098,4.3,"1,000,000+",0,0,4.0
412,7,4.3,1133501,4.7,"10,000,000+",0,0,4.0
413,7,4.1,12578,2.3,"500,000+",0,0,4.0
414,7,4.2,10965,2.3,"500,000+",0,0,3.0
415,7,4.0,18247,0,"100,000+",3.99,0,4.1
416,7,4.2,190613,11,"10,000,000+",0,0,4.0
417,7,4.2,125232,2.7,"10,000,000+",0,0,2.1
418,7,4.2,83239,14,"5,000,000+",0,0,4.0
419,7,4.3,11334973,0,"500,000,000+",0,0,0.0
420,7,4.3,72065,13,"1,000,000+",0,0,4.0
421,7,4.4,27540,3.7,"1,000,000+",0,0,4.0
422,7,4.2,104990,10,"5,000,000+",0,0,4.0
423,7,4.4,177703,13,"10,000,000+",0,17,5.0
424,7,4.1,17529,10,"1,000,000+",0,0,4.0
425,7,4.2,177263,13,"10,000,000+",0,17,5.0
426,7,4.8,237468,8.8,"1,000,000+",0,0,4.0
427,7,4.4,32254,5.5,"1,000,000+",0,0,2.1
428,7,4.4,483565,20,"10,000,000+",0,0,4.1
429,7,4.4,552441,29,"10,000,000+",0,0,4.1
430,7,4.0,60308,0,"5,000,000+",0,0,0.0
431,7,4.5,457283,0,"10,000,000+",0,0,0.0
432,7,4.4,93825,11,"5,000,000+",0,0,4.1
433,7,4.1,32283,0,"1,000,000+",0,0,0.0
434,7,4.2,15287,17,"1,000,000+",0,0,4.0
435,7,4.5,205739,17,"5,000,000+",0,0,4.1
436,7,4.3,14873,0,"1,000,000+",0,0,0.0
437,7,4.5,7820209,0,"100,000,000+",0,0,0.0
438,7,4.0,9498,1,"1,000,000+",0,0,2.3
439,7,4.3,4604483,0,"1,000,000,000+",0,0,0.0
440,7,4.3,4188142,16,"100,000,000+",0,0,4.4
441,7,4.2,88427,5.1,"5,000,000+",0,0,4.0
442,7,4.5,305218,0,"10,000,000+",0,0,0.0
443,7,4.6,183374,44,"1,000,000+",0,0,4.1
444,7,4.1,20901,7.3,"1,000,000+",0,0,4.1
445,7,4.0,122595,30,"1,000,000+",0,0,5.0
446,7,4.2,124346,1,"10,000,000+",0,0,2.0
447,7,4.6,837842,0,"50,000,000+",0,0,0.0
448,7,4.1,255,1.6,"10,000+",0,0,2.2
449,7,4.3,41420,19,"5,000,000+",0,0,4.0
450,7,4.2,44706,0,"1,000,000+",0,0,0.0
451,7,4.3,23707,0,"500,000+",0,0,0.0
452,7,4.0,3419513,0,"1,000,000,000+",0,0,0.0
453,7,4.3,4785988,11,"500,000,000+",0,0,4.0
454,7,4.2,594728,0,"50,000,000+",0,0,4.4
455,7,4.3,11335255,0,"500,000,000+",0,0,0.0
456,7,4.1,10484169,0,"1,000,000,000+",0,0,0.0
457,7,4.2,5387446,0,"100,000,000+",0,0,0.0
458,7,4.1,29208,23,"1,000,000+",0,0,2.3
459,7,4.6,191032,26,"5,000,000+",0,0,4.0
460,7,4.3,350154,0,"10,000,000+",0,0,0.0
461,7,4.2,244863,0,"10,000,000+",0,0,0.0
462,7,4.2,10790289,0,"500,000,000+",0,0,0.0
463,7,4.3,2546527,0,"100,000,000+",0,0,0.0
464,8,4.2,1545,0,"10,000+",3.99,17,4.1
465,8,2.6,57,6.2,"1,000+",6.99,0,4.0
466,8,3.5,2,17,100+,7.99,17,4.0
467,8,4.0,516801,0,"10,000,000+",0,17,0.0
468,8,4.1,285726,15,"10,000,000+",0,17,4.1
469,8,3.7,76646,0,"10,000,000+",0,17,0.0
470,8,4.1,2556,56,"100,000+",0,17,4.1
471,8,4.2,7779,12,"500,000+",0,17,5.0
472,8,4.5,61637,11,"5,000,000+",0,17,4.1
473,8,4.4,12632,29,"1,000,000+",0,17,4.1
474,8,4.2,313724,0,"10,000,000+",0,17,4.1
475,8,4.0,48845,40,"1,000,000+",0,17,4.4
476,8,4.1,305708,0,"10,000,000+",0,17,0.0
477,8,3.1,31320,53,"5,000,000+",0,17,4.1
478,8,4.4,172460,3.1,"5,000,000+",0,17,4.0
479,8,4.2,4195,24,"100,000+",0,17,4.4
480,8,4.1,11633,23,"500,000+",0,17,4.1
481,8,3.9,10212,5.0,"1,000,000+",0,17,4.4
482,8,4.3,37053,44,"1,000,000+",0,17,4.1
